time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
22.27,-4.85066396174907e-14,0.0385965876846609,-5.23709493679454e-14,-2.04404382600692e-15,-0.00154642194908948,-4.39317736015758e-15,118.950641415217,0.383477932432196,0.0552540803245241,3.99747569443856e-15,-0.0166574926398632,0.551586748567348,-3.49054553463464e-14,-9.58366416965066,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.934139056983,-5.43454338276313e-12,1.98132780372988
22.28,-4.8528748058927e-14,0.0385811370963765,-5.24141725414549e-14,-2.04414064705684e-15,-0.0015436954303082,-4.39494714649225e-15,118.952486385003,0.38348377737728,0.055253977635009,3.99734857098661e-15,-0.0166728405386325,0.551566844640613,-3.49062007899283e-14,-9.58398876437283,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.935953347113,-5.43963734792467e-12,1.98318395208481
22.29,-4.85508575216279e-14,0.0385657137816416,-5.24574143831507e-14,-2.04423744298066e-15,-0.00154096723547898,-4.39671691606182e-15,118.954332486566,0.383489625871608,0.0552538746149966,3.99722143910581e-15,-0.016688160833355,0.551546925079564,-3.49069468746407e-14,-9.58431353770596,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.937768794696,-5.44473373615677e-12,1.9850368923202
22.3,-4.85729680060178e-14,0.0385503177573264,-5.25006748949095e-14,-2.04433421384471e-15,-0.00153823734280716,-4.3984866688539e-15,118.956179716982,0.383495477905913,0.055253771267344,3.99709429884202e-15,-0.0167034535100176,0.55152698993904,-3.49076935990515e-14,-9.58463848953588,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.939585396989,-5.44983254778399e-12,1.98688662262177
22.31,-4.85950795125244e-14,0.0385349490405157,-5.25439540786195e-14,-2.04443095971471e-15,-0.00153550573109903,-4.40025640485489e-15,118.958028073327,0.383501333470927,0.0552536675951344,3.99696715024013e-15,-0.0167187185546187,0.551507039276167,-3.49084409617026e-14,-9.58496361977547,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.941403151248,-5.45493378313067e-12,1.98873314117607
22.32,-4.86171920415788e-14,0.0385196076485032,-5.25872519361805e-14,-2.04452768065568e-15,-0.0015327723797701,-4.40202612405005e-15,118.959877552675,0.383507192557379,0.0552535636016688,3.99683999334409e-15,-0.0167339559531656,0.551487073150275,-3.49091889611101e-14,-9.58528892836367,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.943222054724,-5.46003744252091e-12,1.99057644617022
22.33,-4.86393055936152e-14,0.0385042935987856,-5.26305684695028e-14,-2.0446243767319e-15,-0.00153003726885254,-4.40379582642363e-15,118.9617281521,0.383513055155992,0.055253459290458,3.99671282819684e-15,-0.0167491656916723,0.551467091622818,-3.49099375957646e-14,-9.58561441526432,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.945042104672,-5.46514352627857e-12,1.99241653579168
22.34,-4.86614201690711e-14,0.038489006909056,-5.26739036805079e-14,-2.04472104800681e-15,-0.00152730037900188,-4.40556551195888e-15,118.963579868674,0.383518921257488,0.0552533546652138,3.99658565484032e-15,-0.0167643477561577,0.551447094757297,-3.49106868641314e-14,-9.58594008046517,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.946863298341,-5.47025203472733e-12,1.99425340822799
22.35,-4.86835357683873e-14,0.0384737475971978,-5.27172575711272e-14,-2.04481769454299e-15,-0.00152456169150305,-4.40733518063818e-15,118.965432699469,0.383524790852585,0.0552532497298413,3.99645847331544e-15,-0.0167795021326434,0.551427082619176,-3.49114367646507e-14,-9.58626592397689,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.948685632982,-5.47536296819065e-12,1.99608706166654
22.36,-4.87056523920079e-14,0.0384585156812785,-5.27606301433026e-14,-2.04491431640205e-15,-0.00152182118827561,-4.40910483244312e-15,118.967286641553,0.383530663931997,0.0552531444884305,3.99633128366211e-15,-0.016794628807152,0.5514070552758,-3.4912187295738e-14,-9.58659194583189,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.950509105844,-5.48047632699179e-12,1.99791749429434
22.37,-4.87277700403799e-14,0.038443311179543,-5.28040213989856e-14,-2.04501091364463e-15,-0.00151907885187837,-4.41087446735452e-15,118.969141691997,0.383536540486437,0.0552530389452479,3.99620408591916e-15,-0.016809727765705,0.551387012796319,-3.49129384557843e-14,-9.5869181460834,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.952333714173,-5.48559211145386e-12,1.9997447042978
22.38,-4.87498887139539e-14,0.0384281341104075,-5.28474313401372e-14,-2.04510748633028e-15,-0.00151633466551322,-4.41264408535258e-15,118.970997847867,0.383542420506611,0.0552529331047289,3.99607688012437e-15,-0.0168247989943214,0.551366955251609,-3.49136902431565e-14,-9.58724452480439,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.954159455216,-5.49071032189975e-12,2.00156868986256
22.39,-4.87720084131834e-14,0.0384129844924532,-5.28908599687276e-14,-2.04520403451748e-15,-0.0015135886130284,-4.41441368641689e-15,118.972855106232,0.383548303983223,0.0552528269714691,3.99594966631445e-15,-0.0168398424790159,0.551346882714189,-3.49144426561973e-14,-9.58757108208655,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.955986326218,-5.49583095865225e-12,2.00338944917324
22.4,-4.87941291385254e-14,0.0383978623444191,-5.29343072867358e-14,-2.04530055826351e-15,-0.00151084067892097,-4.41618327052654e-15,118.974713464156,0.383554190906975,0.0552527205502167,3.99582244452502e-15,-0.0168548582057976,0.551326795258146,-3.49151956932265e-14,-9.58789781803933,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.957814324423,-5.50095402203393e-12,2.00520698041333
22.41,-4.88162508904397e-14,0.0383827676851964,-5.29777732961496e-14,-2.04539705762446e-15,-0.00150809084833877,-4.41795283766019e-15,118.976572918704,0.383560081268562,0.0552526138458645,3.99569521479063e-15,-0.0168698461606681,0.551306692959053,-3.49159493525399e-14,-9.58822473278881,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.959643447071,-5.50607951236726e-12,2.00702128176494
