time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
53.94,0.00164469624502675,0.0536303454562247,0.0293973979881837,5.63943321385378e-09,-0.000631270682947903,0.000134063073465759,119.577259639,0.385492530694679,0.0552589218051505,1.26938676432763e-05,-0.00162852260329923,0.544812453643229,-5.82294768901414e-05,-9.69302129027061,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.525709403063,3.50540911519185,0.19473418408737
53.95,0.00164476771132487,0.0536240322966109,0.0293987301806579,6.12037181555509e-09,-0.000630921797453228,0.000134068721393093,119.577505525601,0.385493313197167,0.055258901803903,1.26941151598062e-05,-0.00163481575650294,0.544809726323362,-5.82297528043164e-05,-9.69306322759862,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.525949299189,3.50557508056841,0.195487103079337
53.96,0.0016448391773271,0.0536177226300028,0.0294000624345394,6.60121419213114e-09,-0.000630572043378289,0.000134074368557879,119.577751979216,0.385494097488255,0.0552588817814302,1.26943625551752e-05,-0.00164110539547522,0.544806992883228,-5.82300289218393e-05,-9.69310526837748,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.526189757589,3.50574107042477,0.196239605865563
53.97,0.00164491064303676,0.0536114164650829,0.0294013947498359,7.08195959996397e-09,-0.000630221421394582,0.000134080014960699,119.577998999385,0.38549488356648,0.0552588617377669,1.26946098298881e-05,-0.00164739151156848,0.544804253327839,-5.82303052462628e-05,-9.69314741252849,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.526430777813,3.50590708475091,0.196991691419317
53.98,0.00164498210845716,0.0536051138105269,0.0294027271265546,7.56260729578664e-09,-0.000629869932174782,0.000134085660602136,119.578246585645,0.385495671430377,0.055258841672948,1.269485698445e-05,-0.00165367409614183,0.544801507662211,-5.82305817811522e-05,-9.69318965997282,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.52667235941,3.50607312353682,0.197743358714628
53.99,0.00164505357359161,0.0535988146750038,0.029404059564703,8.04315653667787e-09,-0.000629517576392744,0.000134091305482773,119.578494737535,0.385496461078479,0.0552588215870082,1.26951040193658e-05,-0.00165995314056113,0.544798755891368,-5.8230858530054e-05,-9.69323201063145,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.526914501927,3.50623918677242,0.198494606726305
54,0.00164512503844343,0.0535925190671757,0.0294053920642886,8.5236065800686e-09,-0.000629164354723495,0.000134096949603196,119.578743454593,0.385497252509315,0.0552588014799826,1.26953509351406e-05,-0.00166622863619908,0.544795998020344,-5.82311354965239e-05,-9.69327446442529,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.527157204911,3.50640527444764,0.199245434429939
54.01,0.00164519650301596,0.0535862269956983,0.0294067246253187,9.00395668373984e-09,-0.000628810267843238,0.000134102592963992,119.578992736355,0.385498045721413,0.055258781351906,1.26955977322799e-05,-0.00167250057443509,0.544793234054181,-5.82314126841178e-05,-9.69331702127508,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.527400467909,3.50657138655238,0.199995840801892
54.02,0.00164526796731252,0.0535799384692201,0.0294080572478009,9.48420610582291e-09,-0.000628455316429352,0.00013410823556575,119.579242582356,0.385498840713299,0.0552587612028133,1.26958444112888e-05,-0.00167876894665538,0.544790463997927,-5.82316900963854e-05,-9.69335968110142,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.527644290466,3.50673752307651,0.200745824819305
54.03,0.00164533943133645,0.0535736534963832,0.0294093899317424,9.96435410480058e-09,-0.000628099501160382,0.000134113877409059,119.579492992133,0.385499637483495,0.0552587410327396,1.26960909726728e-05,-0.001685033744253,0.54478768785664,-5.82319677368762e-05,-9.69340244382478,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.527888672127,3.50690368400986,0.201495385460103
54.04,0.00164541089509108,0.0535673720858227,0.0294107226771507,1.04443999395082e-08,-0.000627742822716051,0.000134119518494511,119.57974396522,0.385500436030522,0.0552587208417199,1.26963374169375e-05,-0.0016912949586278,0.544784905635384,-5.82322456091396e-05,-9.6934453093655,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.528133612437,3.50706986934228,0.202244521702991
54.05,0.00164548235857977,0.0535610942461669,0.0294120554840333,1.09243428691338e-08,-0.000627385281777244,0.000134125158822699,119.579995501149,0.385501236352899,0.0552587006297891,1.26965837445885e-05,-0.00169755258118647,0.544782117339232,-5.82325237167317e-05,-9.69348827764377,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.528379110938,3.50723607906355,0.202993232527458
54.06,0.00164555382180586,0.0535548199860373,0.0294133883523974,1.14041821532183e-08,-0.000627026879026021,0.000134130798394216,119.580247599454,0.385502038449142,0.0552586803969824,1.26968299561315e-05,-0.00170380660334253,0.544779322973268,-5.82328020631924e-05,-9.69353134857967,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.528625167174,3.50740231316345,0.203741516913777
54.07,0.0016456252847727,0.0535485493140487,0.0294147212822506,1.18839170516563e-08,-0.000626667615145607,0.000134136437209658,119.580500259668,0.385502842317763,0.0552586601433347,1.26970760520723e-05,-0.00171005701651635,0.544776522542577,-5.82330806520714e-05,-9.6935745220931,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.528871780686,3.50756857163174,0.204489373843004
54.08,0.00164569674748365,0.053542282238809,0.0294160542736002,1.23635468246966e-08,-0.000626307490820393,0.000134142075269623,119.58075348132,0.385503647957274,0.0552586398688813,1.26973220329169e-05,-0.00171630381213521,0.544773716052258,-5.8233359486915e-05,-9.69361779810388,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.529118951016,3.50773485445814,0.20523680229699
54.09,0.00164576820994207,0.053536018768919,0.0294173873264537,1.28430707329433e-08,-0.000625946506735931,0.000134147712574709,119.581007263943,0.385504455366184,0.0552586195736572,1.26975678991713e-05,-0.00172254698163316,0.544770903507416,-5.82336385712697e-05,-9.69366117653164,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.529366677704,3.50790116163235,0.205983801258363
54.1,0.00164583967215133,0.0535297589129731,0.0294187204408183,1.33224880373557e-08,-0.000625584663578941,0.000134153349125516,119.581261607066,0.385505264542999,0.0552585992576975,1.26978136513416e-05,-0.00172878651645124,0.544768084913163,-5.82339179086754e-05,-9.69370465729592,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.52961496029,3.50806749314405,0.206730369710548
54.11,0.0016459111341148,0.0535235026795584,0.0294200536167016,1.38017979992498e-08,-0.000625221962037304,0.000134158984922646,119.581516510217,0.385506075486224,0.0552585789210376,1.2698059289934e-05,-0.00173502240803736,0.544765260274621,-5.82341975026818e-05,-9.6937482403161,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.529863798314,3.5082338489829,0.207476506637764
54.12,0.00164598259583585,0.0535172500772554,0.0294213868541108,1.42809998802983e-08,-0.000624858402800058,0.0001341646199667,119.581771972926,0.38550688819436,0.0552585585637125,1.26983048154548e-05,-0.0017412546478463,0.544762429596916,-5.82344773568258e-05,-9.69379192551141,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.530113191313,3.50840022913853,0.208222211025013
54.13,0.00164605405731786,0.0535110011146375,0.0294227201530535,1.47600929425302e-08,-0.000624493986557408,0.000134170254258284,119.582027994721,0.385507702665906,0.0552585381857575,1.26985502284104e-05,-0.00174748322733983,0.544759592885187,-5.82347574746507e-05,-9.69383571280099,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.530363138824,3.50856663360056,0.2089674818581
54.14,0.00164612551856422,0.0535047558002714,0.0294240535135369,1.52390764483342e-08,-0.000624128714000707,0.000134175887798003,119.582284575127,0.38550851889936,0.0552585177872079,1.26987955293073e-05,-0.00175370813798657,0.544756750144577,-5.82350378596964e-05,-9.69387960210381,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.530613640386,3.50873306235855,0.20971231812362
54.15,0.00164619697957831,0.0534985141427167,0.0294253869355684,1.57179496604553e-08,-0.000623762585822475,0.000134181520586465,119.582541713671,0.385509336893217,0.0552584973680989,1.2699040718652e-05,-0.00175992937126216,0.544753901380239,-5.82353185155e-05,-9.69392359333871,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,119.530864695534,3.50889951540208,0.210456718808964
